phone_id,test_id,tx_power,cal_confidence,rssi_offset,carriage_state
22,150,-18,3,3,Front Pants Pocket
23,150,-18,3,3,Front Pants Pocket
22,151,-18,3,3,Front Pants Pocket
23,151,-18,3,3,Front Pants Pocket
22,152,-18,3,3,Bag
23,152,-18,3,3,Bag
22,153,-18,3,3,Bag
23,153,-18,3,3,Bag
22,154,-18,3,3,Bag
23,154,-18,3,3,Bag
22,155,-18,3,3,Bag
23,155,-18,3,3,Bag
22,156,-18,3,3,Bag
23,156,-18,3,3,Bag
22,157,-18,3,3,Bag
23,157,-18,3,3,Bag
22,158,-18,3,3,Bag
23,158,-18,3,3,Bag
22,159,-18,3,3,Bag
23,159,-18,3,3,Bag
22,160,-18,3,3,Bag
23,160,-18,3,3,Bag
22,161,-18,3,3,Bag
23,161,-18,3,3,Bag
22,162,-18,3,3,Bag
23,162,-18,3,3,Bag
22,163,-18,3,3,Bag
23,163,-18,3,3,Bag
22,164,-18,3,3,Front Shirt Pocket
23,164,-18,3,3,Front Shirt Pocket
22,165,-18,3,3,Front Shirt Pocket
23,165,-18,3,3,Front Shirt Pocket
22,166,-18,3,3,Front Shirt Pocket
23,166,-18,3,3,Front Shirt Pocket
22,167,-18,3,4,Front Pants Pocket
23,167,-18,3,4,Front Pants Pocket
22,168,-18,3,4,Front Pants Pocket
23,168,-18,3,4,Front Pants Pocket
22,169,-18,3,4,Front Pants Pocket
23,169,-18,3,4,Front Pants Pocket
22,170,-23,3,4,Front Pants Pocket
23,170,-23,3,4,Front Pants Pocket
22,171,-23,3,4,Front Pants Pocket
23,171,-23,3,4,Front Pants Pocket
22,172,-23,3,4,Front Pants Pocket
23,172,-23,3,4,Front Pants Pocket
22,173,-23,3,4,Front Pants Pocket
23,173,-23,3,4,Front Pants Pocket
22,174,-23,3,4,Front Pants Pocket
23,174,-23,3,4,Front Pants Pocket
22,175,-23,3,4,Front Pants Pocket
23,175,-23,3,4,Front Pants Pocket
22,176,-23,3,4,Front Pants Pocket
23,176,-23,3,4,Front Pants Pocket
22,177,-23,3,4,Front Pants Pocket
23,177,-23,3,4,Front Pants Pocket
22,178,-23,3,4,Front Pants Pocket
23,178,-23,3,4,Front Pants Pocket
22,179,-23,3,4,Bag
23,179,-23,3,4,Bag
22,180,-23,3,4,Bag
23,180,-23,3,4,Bag
22,181,-23,3,4,Bag
23,181,-23,3,4,Bag
20,182,0,3,,LFSP
7,182,-32,3,9,LFSP
9,182,-29,3,2,LFSP
12,182,-24,1,3,LFSP
13,182,-23,3,4,LFSP
15,182,-27,1,3,LFSP
7,183,-32,3,9,LFSP
20,183,0,3,,LFSP
9,183,-29,3,2,LFSP
12,183,-24,1,3,LFSP
13,183,-23,3,4,LFSP
15,183,-27,1,3,LFSP
20,184,0,3,,LFSP
9,184,-29,3,2,LFSP
7,184,-32,3,9,LFSP
12,184,-24,1,3,LFSP
13,184,-23,3,4,LFSP
15,184,-27,1,3,LFSP
19,185,0,3,,LIJP
14,185,-23,3,4,RFPP
2,185,-20,1,0,LFPP
9,185,-29,3,2,LFSP
10,185,-29,3,2,LFSP
11,185,-24,1,3,LFSP
7,185,-32,3,9,Hand
5,185,-24,1,8,LFPP
13,185,-23,3,4,Bag (adj)
15,185,-27,1,3,LFSP
17,185,0,3,,LFSP
1,185,-20,1,0,LFSP
8,185,-32,3,9,Bag (adj)
9,186,-29,3,2,LIJP
14,186,-23,3,4,RFPP
2,186,-20,1,0,LFPP
19,186,-23,3,,LFSP
10,186,-29,3,2,LFSP
11,186,-24,1,3,LFSP
7,186,-32,3,9,Hand
5,186,-24,1,8,LFPP
13,186,-23,3,4,Bag (adj)
15,186,-27,1,3,LFSP
17,186,-23,3,,LFSP
8,186,-32,3,9,LFSP
1,186,-20,1,0,Bag (adj)
2,187,-20,1,0,LIJP
14,187,-23,3,4,RFPP
19,187,-23,3,,LFPP
9,187,-29,3,2,LFSP
10,187,-29,3,2,LFSP
11,187,-24,1,3,LFSP
7,187,-32,3,9,Hand
5,187,-24,1,8,LFPP
13,187,-23,3,4,Bag (adj)
15,187,-27,1,3,LFSP
17,187,-23,3,,LFSP
8,187,-32,3,9,LFSP
1,187,-20,1,0,Bag (adj)
10,188,-29,3,2,LFHP
1,188,-20,1,0,LFPP
12,188,-24,1,3,LFSP
9,188,-29,3,2,RFPP
3,188,-23,1,11,Table
13,188,-23,3,4,RFPP
19,188,0,3,,Table
8,188,-32,3,9,LFSP
17,188,0,3,,Bag (adj)
11,188,-24,1,3,Table
15,188,-27,1,3,Hand
20,188,0,3,,LFSP
2,188,-20,1,0,LFSP
14,188,-23,3,4,Table
18,188,0,3,,LFSP
7,188,-32,3,9,Bag (adj)
10,189,-29,3,2,LFHP
19,189,-27,3,,LFPP
12,189,-24,1,3,LFSP
9,189,-29,3,2,RFPP
3,189,-23,1,11,Table
13,189,-23,3,4,RFPP
1,189,-20,1,0,Table
8,189,-32,3,9,LFSP
17,189,-27,3,,Bag (adj)
11,189,-24,1,3,Table
15,189,-27,1,3,Hand
20,189,-27,3,,LFSP
2,189,-20,1,0,LFSP
14,189,-23,3,4,Table
18,189,-27,3,,LFSP
7,189,-32,3,9,Bag (adj)
10,190,-29,3,2,LFHP
19,190,-27,3,,LFPP
12,190,-24,1,3,LFSP
9,190,-29,3,2,RFPP
3,190,-23,1,11,Table
1,190,-20,1,0,RFPP
13,190,-23,3,4,Table
8,190,-32,3,9,LFSP
17,190,-27,3,,Bag (adj)
11,190,-24,1,3,Table
15,190,-27,1,3,Hand
20,190,-27,3,,LFSP
2,190,-20,1,0,LFSP
14,190,-23,3,4,Table
18,190,-27,3,,LFSP
7,190,-32,3,9,Bag (adj)
17,191,3,3,,Bag (adj)
9,191,-29,3,2,LFSP
8,191,-32,3,9,Table
12,191,-24,1,3,RBPP
1,191,-20,1,0,LFPP
13,191,-23,3,4,RFPP
15,191,-27,1,3,LFSP
10,191,-29,3,2,Bag (adj)
18,191,0,3,,Hand
8,192,-32,3,,Bag (adj)
9,192,-29,3,2,LFSP
17,192,0,3,,Table
12,192,-24,1,3,RBPP
1,192,-20,1,0,LFPP
13,192,-23,3,4,RFPP
15,192,-27,1,3,LFSP
10,192,-29,3,2,Bag (adj)
18,192,0,3,,Hand
1,193,-20,1,,Bag (adj)
9,193,-29,3,2,LFSP
8,193,-32,3,9,Table
12,193,-24,1,3,RBPP
17,193,-20,3,,LFPP
13,193,-23,3,4,RFPP
15,193,-27,1,3,LFSP
10,193,-29,3,2,Bag (adj)
18,193,-20,3,,Hand
13,194,-23,3,4,HP
11,194,-24,1,3,LFSP
18,194,3,3,,Bag (adj)
5,194,-24,1,8,LFSP
9,194,-29,3,2,LFPP
16,194,-27,1,3,Bag (adj)
8,194,-32,3,9,LFSP
2,194,-20,1,0,LFPP
14,194,-23,3,4,LFSP
7,194,-32,3,9,LFSP
17,194,0,3,,LIJP
1,194,-20,1,0,LFPP
12,194,-24,1,3,LFPP
10,194,-29,3,2,RFPP
15,194,-27,1,3,LFSP
13,195,-23,3,4,HP
18,195,0,3,,LFSP
11,195,-24,1,3,Bag (adj)
